Date,Open,High,Low,Close
2024-07-24,2421.00,2421.00,2411.60,2413.30
2024-07-25,2365.50,2365.50,2351.90,2351.90
2024-07-26,2368.70,2386.90,2368.70,2380.00
2024-07-29,2377.30,2377.30,2377.30,2377.30
2024-07-30,2380.90,2409.30,2373.80,2405.00
2024-07-31,2407.10,2447.60,2402.80,2426.50
2024-08-01,2446.70,2455.10,2430.40,2435.00
2024-08-02,2444.00,2477.00,2416.00,2425.70
2024-08-05,2442.00,2449.80,2367.40,2401.70
2024-08-06,2414.50,2421.80,2380.00,2389.10
2024-08-07,2392.20,2401.00,2384.50,2390.50
2024-08-08,2384.30,2422.80,2384.30,2422.20
2024-08-09,2422.30,2432.10,2418.50,2432.10
2024-08-12,2432.70,2469.80,2432.00,2462.40
2024-08-13,2461.00,2470.00,2456.50,2466.70
2024-08-14,2468.00,2472.10,2439.40,2439.40
2024-08-15,2451.80,2467.70,2431.20,2453.10
2024-08-16,2453.50,2508.00,2451.40,2498.60
2024-08-19,2508.50,2508.50,2487.20,2501.80
2024-08-20,2503.50,2527.30,2500.70,2511.30
2024-08-21,2511.00,2515.40,2503.90,2508.40
2024-08-22,2504.10,2504.10,2471.10,2478.90
2024-08-23,2486.50,2508.40,2486.50,2508.40
2024-08-26,2509.90,2523.10,2509.10,2517.70
2024-08-27,2515.20,2523.10,2506.90,2516.00
2024-08-28,2501.00,2501.00,2501.00,2501.00
2024-08-29,2504.10,2525.70,2503.90,2525.70
2024-08-30,2519.50,2525.40,2493.80,2493.80
2024-09-03,2501.60,2501.80,2476.30,2489.90
2024-09-04,2490.90,2493.40,2483.50,2493.40
2024-09-05,2493.70,2513.30,2493.40,2511.40
2024-09-06,2510.30,2517.90,2483.70,2493.50
2024-09-09,2491.30,2504.70,2491.30,2501.80
2024-09-10,2512.30,2512.30,2512.30,2512.30
2024-09-11,2525.80,2525.80,2502.30,2512.10
2024-09-12,2529.10,2557.00,2523.40,2551.20
2024-09-13,2568.80,2581.80,2565.00,2581.30
2024-09-16,2580.40,2580.40,2580.40,2580.40
2024-09-17,2581.20,2581.80,2564.30,2564.30
2024-09-18,2570.70,2570.70,2549.20,2570.70
2024-09-19,2566.00,2588.00,2566.00,2588.00
2024-09-20,2590.40,2621.80,2590.40,2619.90
2024-09-23,2626.50,2626.50,2626.50,2626.50
2024-09-24,2636.80,2662.30,2625.50,2651.20
2024-09-25,2656.30,2664.20,2649.30,2659.20
2024-09-26,2662.30,2669.90,2660.80,2669.90
2024-09-27,2670.00,2672.10,2641.70,2644.30
2024-09-30,2660.90,2662.10,2623.20,2636.10
2024-10-01,2631.40,2670.90,2631.40,2667.30
2024-10-02,2650.60,2657.20,2640.00,2647.10
